 "topic_name" , "topic_uri" , "event_uri" , "content_uri" ,
 "Chatbot" , "https://dbpedia.org/resource/Chatbot" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "SPARQL" , "https://dbpedia.org/resource/SPARQL" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Gene Ontology" , "https://dbpedia.org/resource/Gene_ontology" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "UIMA" , "https://dbpedia.org/resource/UIMA" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "FOAF" , "http://dbpedia.org/resource/FOAF_(ontology)" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "ELIZA" , "https://dbpedia.org/resource/ELIZA" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Turing Test" , "https://dbpedia.org/resource/Turing_test" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Linked Open Data" , "https://dbpedia.org/resource/Linked_data" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Named Entity Recognition" , "https://dbpedia.org/resource/Named-entity_recognition" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "data structure" , "https://dbpedia.org/resource/Data_structure" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Microsoft Cortana" , "https://dbpedia.org/resource/Cortana" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "query language" , "https://dbpedia.org/resource/Query_language" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "DBpedia" , "https://dbpedia.org/resource/DBpedia" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Weizenbaum" , "https://dbpedia.org/resource/Joseph_Weizenbaum" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Resource Description Framework (RDF)" , "https://dbpedia.org/resource/Resource_Description_Framework" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Lucene" , "https://dbpedia.org/resource/Apache_Lucene" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Solr" , "https://dbpedia.org/resource/Apache_Solr" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Natural Language Processing (NLP)" , "https://dbpedia.org/resource/Natural_language_processing" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Semantic Web" , "https://dbpedia.org/resource/Semantic_Web" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Gartner" , "https://dbpedia.org/resource/Gartner" , "http://example.org/5484_Lec_1" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%201/Lectures/Slides/slides01.pdf" ,
 "Last.fm" , "http://dbpedia.org/resource/Last.fm" , "http://example.org/5484_Lec_6" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Lectures/Slides/slides06.pdf" ,
 "discounted cumulative gain" , "https://dbpedia.org/resource/Discounted_cumulative_gain" , "http://example.org/5484_Lec_6" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Lectures/Slides/slides06.pdf" ,
 "log2" , "https://dbpedia.org/resource/Binary_logarithm" , "http://example.org/5484_Lec_6" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Lectures/Slides/slides06.pdf" ,
 "Collaborative tagging" , "https://dbpedia.org/resource/Folksonomy" , "http://example.org/5484_Lec_6" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Lectures/Slides/slides06.pdf" ,
 "Manning Publications" , "https://dbpedia.org/resource/Manning_Publications" , "http://example.org/5484_Lec_6" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Lectures/Slides/slides06.pdf" ,
 "Euclidean distance" , "https://dbpedia.org/resource/Euclidean_distance" , "http://example.org/5484_Lec_6" , "file:///C:/Users/Angel%20Chung/Documents/Notes/COMP474/Project/COMP474-Chatbot/universities/Concordia%20University/COMP474/Week%206/Lectures/Slides/slides06.pdf" ,
